fecha,T2M,PRECTOTCORR,PS,RH2M,WS2M,ALLSKY_SFC_SW_DWN,CLOUD_AMT
2002090100,4.41,0,73.99,62.48,1.64,0,17.32
2002090101,3.88,0,73.94,64.37,1.46,0,20.12
2002090102,3.46,0,73.9,65.67,1.53,0,22.61
2002090103,2.82,0,73.88,68.22,1.24,0,43.43
2002090104,2.2,0,73.89,70.65,0.96,0,64.12
2002090105,1.8,0,73.89,72.02,0.94,0,56.91
2002090106,1.56,0,73.9,72.41,0.97,8.65,45.08
2002090107,3.18,0,73.91,63.91,1.28,181.27,25.48
2002090108,6.68,0,73.92,47.89,0.97,424.23,17.65
2002090109,10.77,0,73.93,34.21,1.53,655.25,8.94
2002090110,14.54,0,73.91,25.06,2.73,824.17,24.46
2002090111,17.31,0,73.84,19.66,4.17,932.28,6.49
2002090112,18.45,0,73.75,18.38,5.34,959.45,0.6
2002090113,18.34,0,73.68,19.39,6.04,867.22,3.46
2002090114,17.73,0,73.63,21.41,6.35,710.78,67.12
2002090115,16.65,0,73.62,24.29,6.46,507.92,58.76
2002090116,14.9,0,73.66,28.3,6.03,307.3,50.95
2002090117,12.31,0,73.73,34.02,5.31,108.22,42.3
2002090118,8.97,0,73.82,42.46,3.45,0,33.93
2002090119,6.91,0,73.92,48.45,2.34,0,42.1
2002090120,5.38,0,74.01,53.38,1.57,0,44.39
2002090121,4.19,0,74.04,57.46,1.03,0,52.85
2002090122,3.35,0,74.03,60.2,0.66,0,56.05
2002090123,2.86,0,74.01,61.52,0.54,0,34.44
2002090200,2.45,0,73.95,62.96,0.44,0,43.89
2002090201,2.23,0,73.88,63.9,0.27,0,36.95
2002090202,1.71,0,73.82,66.09,0.43,0,69.46
2002090203,1.29,0,73.77,67.02,0.69,0,66.44
2002090204,1.18,0,73.73,65.21,0.83,0,63.39
2002090205,1.24,0,73.73,61.75,0.93,0,59.19
2002090206,1.58,0,73.76,56.49,0.99,10.32,57.18
2002090207,5.49,0,73.79,40.79,1.39,183.85,50.44
2002090208,10.29,0,73.81,25.07,1.5,422.88,51.94
2002090209,14.55,0,73.83,16.74,2.02,640,51.14
2002090210,17.62,0,73.82,13.7,2.69,817.35,46.44
2002090211,20.09,0,73.75,11.83,3.38,863.12,97.07
2002090212,21.61,0,73.65,11.21,3.79,885.62,66.88
2002090213,22.32,0,73.55,11.42,3.92,818.42,89.43
2002090214,22.4,0,73.45,12.18,3.98,677.2,72.04
2002090215,21.81,0,73.4,13.74,4.3,487.6,75.56
2002090216,20.15,0,73.42,16.86,4.81,284.33,79.02
2002090217,16.96,0,73.48,23.16,4.82,100.55,79.48
2002090218,12.36,0,73.57,34.41,3.1,0,88.01
2002090219,9.66,0,73.65,43.68,1.9,0,91.86
2002090220,8.34,0,73.7,49.07,1.07,0,95.58
2002090221,7.9,0,73.72,49.91,0.64,0,78.04
2002090222,7.46,0,73.72,50.51,0.42,0,59.99
2002090223,7.06,0,73.69,50.26,0.5,0,61.69
2002090300,6.91,0,73.65,48.15,0.55,0,71.04
2002090301,6.37,0,73.6,47,0.67,0,67.34
2002090302,5.95,0,73.58,44.58,0.96,0,63.11
2002090303,5.29,0,73.57,41.76,1.2,0,60.48
2002090304,4.88,0,73.59,37.4,1.36,0,57.31
2002090305,4.86,0,73.62,32.96,1.4,0,84.12
2002090306,5.16,0,73.68,28.96,1.38,9.27,88.37
2002090307,9.34,0,73.74,20.86,1.71,121.62,92.22
2002090308,14.3,0,73.79,11.41,1.78,280.88,95.28
2002090309,18.85,0,73.82,7.68,1.17,435.85,98.85
2002090310,21.22,0,73.82,6.63,1.93,518.78,98.77
2002090311,22.77,0,73.78,6.46,2.66,648.9,65.03
2002090312,23.65,0,73.72,6.88,3.34,673.62,32.19
2002090313,23.93,0.08,73.65,7.52,3.91,584.65,52.52
2002090314,23.66,0.38,73.59,8.36,4.43,485.6,72.98
2002090315,22.78,0.71,73.57,9.67,4.81,346.73,89.57
2002090316,20.99,0.84,73.6,12.31,5.09,204.93,89.29
2002090317,18.06,0.79,73.68,17.74,4.88,74.6,88.43
2002090318,13.74,0.62,73.8,28.76,3.42,0,88.48
2002090319,11.36,0.5,73.92,37.64,2.74,0,87.99
2002090320,9.36,0.38,74.01,46.59,1.49,0,87.22
2002090321,8.01,0.33,74.04,53.28,0.88,0,83.71
2002090322,7.78,0.32,74.03,55.01,0.62,0,82.27
2002090323,7.69,0.28,74.01,56.23,0.31,0,79
