fecha,T2M,PRECTOTCORR,PS,RH2M,WS2M,ALLSKY_SFC_SW_DWN,CLOUD_AMT
2002120100,13.9,0.04,73.42,92.84,2.29,0,98.52
2002120101,13.43,0.03,73.38,94.69,1.86,0,99.15
2002120102,13.03,0.05,73.36,95.76,1.51,0,92.53
2002120103,12.62,0.08,73.36,96.63,1.24,0,79
2002120104,12.27,0.1,73.39,96.23,1.11,0,75.41
2002120105,12.03,0.04,73.44,93.93,0.93,5.53,56.41
2002120106,13.54,0.02,73.49,81.16,1.69,152.52,35.94
2002120107,17.01,0.01,73.52,56.29,2.39,409.6,20.03
2002120108,21.07,0.68,73.53,36.39,2.66,663.75,2.63
2002120109,24.04,0.84,73.51,27.76,3.1,871.9,4.28
2002120110,26.3,2.4,73.48,24.12,3.5,1042.93,28.94
2002120111,27.88,6.3,73.43,22.68,3.87,1052.95,50.52
2002120112,28.77,13.08,73.37,22.91,4.34,1052.18,83.61
2002120113,28.96,20.51,73.32,24.45,4.91,841.92,92.59
2002120114,28.26,29.27,73.28,27.82,5.49,659.45,98.26
2002120115,26.37,34.06,73.27,33.88,5.82,500.23,98.87
2002120116,23.31,29.66,73.3,44.55,5.71,324.85,97.27
2002120117,20.01,24.67,73.37,59.43,4.95,140.23,97.51
2002120118,17.61,18.95,73.43,73.1,3.99,18.17,97.91
2002120119,16.07,15.55,73.5,82.46,3.24,0,98.11
2002120120,15.07,10.31,73.52,87.81,2.79,0,99.64
2002120121,14.43,6.83,73.57,90.58,2.31,0,99.59
2002120122,14.05,4.84,73.63,91.98,2,0,100
2002120123,13.74,4.26,73.64,92.82,2.03,0,100
2002120200,13.36,3.96,73.62,93.98,1.96,0,97.74
2002120201,12.95,3.16,73.57,94.68,1.91,0,99.95
2002120202,12.58,2.33,73.54,95.28,1.28,0,100
2002120203,12.32,1.28,73.55,95.39,0.42,0,100
2002120204,12.38,0.71,73.58,93.59,0.29,0,99.62
2002120205,12.37,0.32,73.62,92.56,0.36,2.03,99.72
2002120206,13.26,0.39,73.68,88.62,0.78,41.3,99.81
2002120207,14.91,0.16,73.73,78.92,1.82,106.5,99.91
2002120208,16.28,0.15,73.76,70.93,3.1,312.1,93.25
2002120209,17.76,0.65,73.76,62.62,3.92,415.33,99.78
2002120210,19.33,1.78,73.73,55.37,4.38,837.8,92.74
2002120211,20.23,4.74,73.67,51.33,4.64,961.47,79.71
2002120212,20.72,8.18,73.59,49.47,4.94,1026.35,19.07
2002120213,20.13,10.63,73.53,51.91,5.25,888.28,60.47
2002120214,18.68,13.12,73.51,59.06,5.33,595.03,70.67
2002120215,17.22,16.19,73.49,67.4,5.03,359.95,86.47
2002120216,16.17,17.09,73.47,73.99,4.54,204.43,89.23
2002120217,15.16,13.4,73.47,80.56,3.88,85,90.87
2002120218,14.18,11.46,73.5,87.37,2.94,9.35,96
2002120219,13.59,13.8,73.54,91.43,2.27,0,96.99
2002120220,13.27,16.08,73.55,92.61,1.79,0,99.62
2002120221,12.78,14.19,73.58,94.41,1.13,0,100
2002120222,12.53,9.68,73.61,94.8,0.89,0,100
2002120223,12.46,8.08,73.57,94.14,1.64,0,100
2002120300,12.06,5.97,73.52,93.77,1.89,0,100
2002120301,11.56,5.43,73.51,93.31,1.55,0,100
2002120302,11.14,3.31,73.51,93.04,1.39,0,99.51
2002120303,10.88,2.27,73.51,92.78,1.45,0,81.93
2002120304,10.71,1.46,73.53,92.86,1.52,0,100
2002120305,10.69,0.88,73.57,93.31,1.52,3.65,100
2002120306,11.16,0.55,73.65,92.91,1.61,74.8,100
2002120307,12.29,0.4,73.72,90.89,2.19,209.7,100
2002120308,14.01,0.3,73.75,85.07,3.23,363.67,100
2002120309,16.05,0.32,73.75,72.8,4.15,492.42,97.94
2002120310,17.41,1.88,73.71,63.04,4.29,475.8,97.91
2002120311,18.29,4.48,73.67,57.37,4.28,422.35,54.83
2002120312,18.85,6.66,73.61,54.17,4.22,426.5,70.01
2002120313,19.07,9.24,73.55,52.91,4.1,281.95,92.1
2002120314,19.07,10.87,73.49,52.98,3.98,282.23,92.38
2002120315,18.71,10.57,73.45,55.02,3.86,295.45,100
2002120316,18.06,9.37,73.44,59.04,3.78,289.38,99.89
2002120317,17,7.2,73.45,66.02,3.46,126.5,99.37
2002120318,15.47,5.01,73.47,77.32,2.55,14.62,99.87
2002120319,14.29,4.33,73.51,86.41,2.11,0,100
2002120320,13.89,3.53,73.55,91.15,1.94,0,100
2002120321,13.8,3.18,73.59,93.8,1.98,0,99.62
2002120322,13.78,1.92,73.61,95.13,1.99,0,100
2002120323,13.65,0.96,73.58,96.27,1.81,0,99.4
2002120400,13.38,0.27,73.55,97.18,1.82,0,99.79
2002120401,12.94,0.07,73.52,97.72,1.45,0,99.41
2002120402,12.53,0.03,73.5,97.62,1.01,0,99.96
2002120403,12.22,0.01,73.48,97.24,0.8,0,99.39
2002120404,11.98,0,73.49,96.89,0.75,0,100
2002120405,11.73,0.01,73.53,96.27,0.67,3.6,98.88
2002120406,12.66,0.02,73.58,91.09,0.97,91,97.07
2002120407,14.33,0.03,73.62,79.24,1.79,259.6,98.05
2002120408,16.77,0,73.65,63.08,2.65,459.02,100
2002120409,19.75,0,73.64,47.18,3.38,603.97,100
2002120410,22.24,0,73.59,38.49,3.57,867.05,98.48
2002120411,24.02,0,73.52,33.71,3.62,988.45,74.85
2002120412,25.17,0.01,73.44,31,3.65,1013.78,63.79
2002120413,26.06,0.02,73.38,29.24,3.89,906.22,82.88
2002120414,26.47,0.02,73.33,28.59,4.45,692.58,93.67
2002120415,25.99,0.02,73.29,30.09,5.11,511.05,94.38
2002120416,24.41,0.01,73.29,35.04,5.47,324.38,95.25
2002120417,22,0,73.34,44.04,5.01,177,93.43
2002120418,19.29,0,73.41,56.99,3.52,21.65,96.77
2002120419,17.33,0,73.47,69.68,1.88,0,100
2002120420,16.36,0,73.51,75.59,1.12,0,99.66
2002120421,15.44,0,73.53,80.39,0.69,0,99.43
2002120422,14.7,0,73.52,82.97,0.64,0,98.94
2002120423,14.03,0,73.48,84.72,0.73,0,99.05
2002120500,13.6,0,73.45,86.33,0.85,0,100
2002120501,13.17,0,73.43,88.46,1.11,0,100
2002120502,13.01,0,73.43,89.7,1.08,0,94.76
2002120503,12.82,0,73.44,90.75,0.72,0,100
2002120504,12.35,0,73.48,93.09,0.77,0,95.85
2002120505,12.25,0,73.55,92.55,0.77,3.58,93.42
2002120506,13.68,0,73.58,82.31,1.15,79.82,91.01
2002120507,17.17,0,73.6,59.66,1.54,218.7,88.58
2002120508,20.42,0.2,73.61,44.9,1.85,392.15,86.17
2002120509,22.68,0.5,73.59,37.82,2.41,408.85,100
2002120510,23.83,1.07,73.56,34.75,2.87,558.47,78.17
2002120511,24.67,2.44,73.52,33.14,3.34,606.92,78.37
2002120512,25.68,4.54,73.46,31.85,3.84,490.55,92.09
2002120513,25.57,8.85,73.39,32.74,4.15,414.35,99.77
2002120514,24.22,12.9,73.36,36.43,3.89,479.48,99.51
2002120515,22.55,13.2,73.36,41.58,2.85,158.93,100
2002120516,20.39,10.48,73.4,48.75,1.41,98.88,100
2002120517,17.34,8.75,73.49,60.82,1.75,63.45,97.23
2002120518,14.86,6.73,73.55,70.7,2.37,15.02,94.46
2002120519,13.43,6.45,73.66,75.94,1.82,0,91.71
2002120520,12.33,7.37,73.77,77.64,1.96,0,65.83
2002120521,11.52,8.5,73.78,77.08,1.91,0,99.12
2002120522,11.02,8.17,73.78,78.08,1.5,0,68.71
2002120523,10.73,6.38,73.73,79.91,1.32,0,4.82
2002120600,10.56,4.22,73.62,80.51,1.41,0,33.38
2002120601,10.55,2.45,73.52,80.28,1.37,0,27.05
2002120602,10.55,1.07,73.47,80.77,1.15,0,22.65
2002120603,10.38,0.38,73.44,80.64,1.07,0,26.49
2002120604,9.52,0.18,73.43,80.69,1.13,0,19.25
2002120605,9.12,0.03,73.44,79.68,1.21,5.15,15.61
2002120606,12,0,73.49,70.72,1.71,147.4,11.75
2002120607,16.11,0,73.52,49.84,2.72,401.12,8.25
2002120608,21.35,0.01,73.53,29,1.88,656.58,4.91
2002120609,24.32,0.01,73.52,22.33,0.55,878.45,1.13
2002120610,26.39,0.02,73.48,19.39,1.03,1036.32,0.75
2002120611,27.92,0.01,73.43,17.9,2.07,1131.93,0.75
2002120612,28.92,0.11,73.37,17.2,3.12,1146.47,17.83
2002120613,29.34,1.17,73.3,17.29,3.92,1076.03,35.8
2002120614,29.11,2.4,73.24,18.69,4.67,941.92,52.16
2002120615,28.15,3.18,73.19,21.8,5.3,733.85,44.06
2002120616,26.24,3.83,73.19,28.14,5.81,499.62,33.16
2002120617,23.31,2.29,73.25,39.24,5.75,256.38,19.2
2002120618,19.7,0.83,73.34,55.09,4.74,39.22,13.22
2002120619,16.95,0.68,73.43,70.44,3.34,0,4.15
2002120620,15.6,0.12,73.5,78.75,2.47,0,9.87
2002120621,14.83,0.02,73.56,83.57,1.69,0,58.58
2002120622,14.25,0.03,73.58,86.93,1.14,0,32.28
2002120623,13.74,0.04,73.57,88.88,0.82,0,42.5
2002120700,13.26,0.02,73.51,90.64,0.66,0,76.72
2002120701,12.6,0.08,73.46,92.9,0.62,0,54.79
2002120702,11.77,0.08,73.42,94.44,0.76,0,71.46
2002120703,11.12,0.08,73.41,93.03,0.87,0,77.87
2002120704,10.54,0.01,73.41,89.19,0.99,0,80.61
2002120705,9.91,0,73.45,84.47,1.1,4.53,77.67
2002120706,12.44,0,73.51,66.78,1.97,132.32,69.59
2002120707,16.85,0.04,73.57,44.41,1.76,352.58,69.46
2002120708,20.57,0.07,73.6,36.94,1.74,584.17,66.08
2002120709,22.66,0.26,73.59,34.59,2.66,872.12,19.97
2002120710,23.92,0.4,73.57,33.15,3.37,1031.95,20.88
2002120711,24.37,0.82,73.54,33.1,3.84,1101.35,46.07
2002120712,24.7,1.24,73.49,32.73,4.12,1018.05,70.59
2002120713,25.12,1.54,73.43,31.93,4.26,965.05,84.54
2002120714,25.14,1.56,73.36,31.97,4.54,835.12,75.77
2002120715,24.57,1.29,73.31,33.54,4.94,639.38,70.27
2002120716,23.34,0.89,73.29,37.33,5.32,418.12,65.19
2002120717,21.28,0.38,73.33,44.45,5.19,213.93,59.66
2002120718,18.73,0.22,73.4,55.61,4.03,33.6,56.49
2002120719,16.69,0.2,73.48,68.41,2.67,0,50.18
2002120720,15.63,0.13,73.54,76.01,2.15,0,18.97
2002120721,14.81,0.14,73.59,81.98,1.73,0,35.91
2002120722,14.25,0.14,73.62,85.97,1.31,0,28.69
2002120723,13.87,0.14,73.61,88.4,0.93,0,57.05
2002120800,13.53,0.16,73.56,90.62,0.58,0,57.17
2002120801,13.09,0.25,73.52,92.74,0.27,0,99.74
2002120802,12.86,0.24,73.51,92.72,0.05,0,97.62
2002120803,12.25,0.4,73.49,94.94,0.46,0,93.44
2002120804,11.47,0.44,73.49,97.19,0.69,0,73.61
2002120805,11.24,0.38,73.55,95.63,0.61,4.62,72.04
2002120806,12.9,0.39,73.63,85.49,0.64,126.62,68.04
2002120807,14.88,0.53,73.66,77.21,1.69,343.45,69.43
2002120808,16.23,0.6,73.69,70.26,2.56,579.03,70.03
2002120809,17.29,0.83,73.7,63.44,3.02,815.4,53
2002120810,18.15,1.02,73.69,58.18,3.53,1002.92,71.79
2002120811,18.6,1.31,73.67,55.72,4.03,1067.18,33.6
2002120812,18.8,1.72,73.62,54.51,4.36,995.05,83.47
2002120813,19.1,1.97,73.55,52.61,4.58,893.35,74.1
2002120814,19.38,1.97,73.47,51.02,4.65,684.67,97.69
2002120815,18.72,1.83,73.42,53.67,4.57,486.42,83.88
2002120816,16.72,1.77,73.45,63.48,4.25,272.83,86.86
2002120817,14.89,1.45,73.51,75.21,3.42,124.78,91.3
2002120818,13.98,1.11,73.54,82.36,2.12,20.6,95.71
2002120819,13.57,0.95,73.57,86.95,1.44,0,98.9
2002120820,13.45,0.84,73.6,89.56,1.4,0,94.52
2002120821,13.37,0.75,73.63,91.8,1.47,0,76.33
2002120822,13.35,0.75,73.63,93.07,1.72,0,88.09
2002120823,13.24,0.64,73.57,93.9,1.85,0,72.92
2002120900,12.7,0.65,73.54,95.25,1.52,0,97.38
2002120901,11.82,0.65,73.57,96.68,0.49,0,98.85
2002120902,11.26,0.59,73.61,94.52,0.37,0,99.37
2002120903,10.22,0.55,73.62,92.32,1.26,0,99.14
2002120904,9.56,0.48,73.65,88.87,2.13,0,86.17
2002120905,8.96,0.45,73.68,83.89,2.28,4.55,76.72
2002120906,9.2,0.47,73.74,77.35,2.14,119.7,66.27
2002120907,11.09,0.61,73.78,64.82,1.89,337.15,56.7
2002120908,14.14,2.21,73.79,52.92,1.76,564.22,46.98
2002120909,16.54,2.76,73.78,48.29,2.45,762.65,56.26
2002120910,18.11,3.17,73.77,47.51,3.16,950.15,82.48
2002120911,19.37,3.83,73.76,47.34,3.64,1046.5,68.02
2002120912,20.77,4.09,73.7,44.66,4.08,1065.9,76.12
2002120913,21.22,4.43,73.63,43.49,4.39,946.45,92.56
2002120914,20.93,4.11,73.57,44.85,4.65,833.4,74.53
2002120915,19.98,3.91,73.53,48.79,4.76,593.1,78.35
2002120916,18.43,3.44,73.52,55.77,4.62,341.05,90.29
2002120917,16.63,2.39,73.54,65.09,3.92,164.9,90.74
