fecha,T2M,PRECTOTCORR,PS,RH2M,WS2M,ALLSKY_SFC_SW_DWN,CLOUD_AMT
2025100100,13.4,0.17,73.76,81.61,1.54,0.0,62.2
2025100101,12.8,0.17,73.68,84.29,1.13,0.0,54.74
2025100102,12.6,0.11,73.64,85.57,0.95,0.0,55.65
2025100103,12.2,0.11,73.64,85.66,0.81,0.0,57.85
2025100104,11.8,0.08,73.62,84.11,0.8,0.0,56.13
2025100105,11.4,0.04,73.68,80.83,0.94,0.0,54.2
2025100106,11.4,0.1,73.72,71.91,0.97,48.98,51.98
2025100107,14.5,0.18,73.79,58.4,1.74,237.28,53.61
2025100108,17.1,1.66,73.84,46.59,2.29,457.68,55.83
2025100109,20.0,4.45,73.83,41.15,2.7,676.0,53.5
2025100110,22.2,5.69,73.84,33.68,3.27,835.93,46.78
2025100111,24.0,5.34,73.78,33.72,3.94,926.17,47.29
2025100112,24.7,2.99,73.7,35.22,4.51,917.17,53.17
2025100113,24.6,1.84,73.62,34.94,4.88,773.36,78.09
2025100114,24.7,1.18,73.59,37.15,5.0,600.31,77.89
2025100115,23.7,0.2,73.55,39.0,5.1,422.94,78.66
2025100116,21.8,0.53,73.54,43.91,5.01,232.26,79.4
2025100117,19.9,0.65,73.6,49.88,4.7,86.34,74.21
2025100118,17.7,0.37,73.67,58.47,3.72,0.0,81.17
2025100119,16.6,0.73,73.77,67.13,3.0,0.0,82.3
2025100120,15.8,0.89,73.84,68.85,2.51,0.0,80.66
2025100121,15.1,1.75,73.87,72.98,2.0,0.0,77.43
2025100122,14.2,0.67,73.88,75.5,1.81,0.0,79.96
2025100123,13.5,0.69,73.88,77.08,1.61,0.0,75.44
2025100200,11.9,0.28,73.85,80.43,1.73,0.0,67.04
2025100201,11.3,0.26,73.8,80.24,1.31,0.0,60.91
2025100202,11.0,0.8,73.75,79.28,1.11,0.0,64.16
2025100203,10.6,0.42,73.74,80.24,1.23,0.0,65.36
2025100204,10.2,0.48,73.74,78.31,1.29,0.0,61.24
2025100205,10.2,0.42,73.79,77.97,1.13,0.0,55.46
2025100206,10.3,0.52,73.85,77.46,0.94,45.35,54.32
2025100207,12.4,0.25,73.92,70.38,1.38,237.77,55.64
2025100208,15.5,0.35,73.96,59.39,2.21,448.62,54.85
2025100209,17.8,0.71,73.96,52.31,2.66,673.34,51.93
2025100210,19.9,0.51,73.95,46.02,3.01,825.69,38.13
2025100211,21.4,0.51,73.89,42.27,3.82,914.29,36.82
2025100212,22.4,0.26,73.83,38.7,4.45,944.75,51.37
2025100213,22.9,0.19,73.76,39.12,4.76,860.34,72.43
2025100214,22.5,0.13,73.69,38.52,4.92,632.87,69.4
2025100215,21.8,0.14,73.64,41.28,5.03,448.7,76.03
2025100216,20.5,0.13,73.64,45.72,4.89,252.58,79.67
2025100217,18.9,0.13,73.7,53.28,4.6,87.63,75.14
2025100218,16.9,0.14,73.78,60.48,3.68,0.0,78.53
2025100219,15.7,0.26,73.87,68.52,2.95,0.0,77.01
2025100220,14.8,0.33,73.92,70.78,2.37,0.0,75.11
2025100221,14.0,0.35,73.98,74.15,2.05,0.0,73.71
2025100222,13.3,0.28,74.01,75.94,1.81,0.0,75.01
2025100223,12.5,0.31,73.99,76.75,1.68,0.0,71.6
2025100300,11.6,0.03,73.94,79.31,1.42,0.0,59.41
2025100301,11.0,0.26,73.91,79.75,1.12,0.0,51.21
2025100302,10.6,1.0,73.86,80.21,0.99,0.0,45.79
2025100303,10.1,0.34,73.85,82.48,0.9,0.0,50.28
2025100304,9.8,0.5,73.87,81.59,0.95,0.0,49.33
2025100305,9.5,0.37,73.91,79.33,1.02,0.0,44.14
2025100306,9.7,0.29,73.99,79.25,0.89,48.87,41.74
2025100307,12.0,0.58,74.04,68.11,1.38,254.23,42.5
2025100308,15.3,0.13,74.07,55.07,2.04,484.32,45.25
2025100309,17.7,0.21,74.08,45.5,2.61,709.42,38.35
2025100310,19.9,0.24,74.03,42.4,3.05,860.88,27.42
