fecha,T2M,PRECTOTCORR,PS,RH2M,WS2M,ALLSKY_SFC_SW_DWN,CLOUD_AMT
2026070100,6.8,0.4,73.82,68.72,0.83,0.0,2.99
2026070101,6.4,0.51,73.79,67.65,1.01,0.0,4.91
2026070102,5.9,0.39,73.76,66.02,1.09,0.0,3.03
2026070103,5.6,0.27,73.73,62.97,1.18,0.0,2.32
2026070104,5.3,0.33,73.72,59.51,1.18,0.0,0.84
2026070105,5.4,0.34,73.73,53.28,1.18,0.0,1.12
2026070106,5.3,0.39,73.76,49.41,1.19,0.0,5.89
2026070107,7.5,0.43,73.79,49.75,1.08,89.4,5.96
2026070108,12.2,0.14,73.83,36.46,1.22,319.19,7.78
2026070109,16.1,0.09,73.88,33.48,1.54,534.71,8.29
2026070110,19.0,0.07,73.88,24.84,2.15,699.63,10.39
2026070111,20.8,0.02,73.82,21.69,2.56,803.06,7.11
2026070112,22.2,0.02,73.76,17.82,3.01,829.02,9.87
2026070113,22.9,0.03,73.65,17.73,3.35,790.14,7.11
2026070114,22.8,0.04,73.59,17.57,3.57,681.86,5.21
2026070115,21.8,0.07,73.54,19.27,3.71,506.45,2.6
2026070116,19.7,0.07,73.53,23.19,3.66,288.63,1.82
2026070117,14.7,0.06,73.56,42.3,1.87,61.44,1.9
2026070118,11.3,0.06,73.62,56.17,1.3,0.0,2.86
2026070119,10.7,0.06,73.69,61.07,1.21,0.0,4.28
2026070120,10.3,0.05,73.74,64.01,0.91,0.0,7.67
2026070121,9.7,0.04,73.77,66.09,0.68,0.0,12.12
2026070122,9.1,0.04,73.76,66.15,0.72,0.0,15.33
2026070123,8.5,0.03,73.75,64.8,0.87,0.0,6.34
2026070200,7.5,0.02,73.78,68.23,0.97,0.0,4.36
2026070201,7.0,0.03,73.73,65.42,1.05,0.0,3.67
2026070202,6.5,0.02,73.7,63.76,1.15,0.0,1.63
2026070203,5.9,0.02,73.68,59.95,1.22,0.0,1.81
2026070204,5.6,0.02,73.66,54.55,1.22,0.0,0.75
2026070205,5.5,0.01,73.67,46.28,1.23,0.0,1.34
2026070206,5.5,0.03,73.71,40.14,1.22,0.0,6.8
2026070207,7.6,0.02,73.73,42.56,1.13,89.48,7.26
2026070208,12.1,0.04,73.81,30.66,1.42,320.48,7.04
2026070209,16.3,0.07,73.85,23.61,1.37,535.63,7.68
2026070210,19.3,0.07,73.83,21.68,2.07,698.7,10.2
2026070211,21.2,0.03,73.8,18.98,2.62,802.52,8.9
2026070212,22.5,0.02,73.74,17.16,3.04,828.54,8.63
2026070213,23.1,0.02,73.63,17.73,3.35,790.6,6.92
2026070214,22.8,0.03,73.59,17.76,3.58,675.89,2.86
2026070215,21.8,0.06,73.53,18.05,3.8,504.03,1.82
2026070216,19.8,0.06,73.56,23.39,3.87,284.18,2.15
2026070217,14.8,0.07,73.59,42.87,1.97,59.81,2.49
2026070218,11.5,0.09,73.67,59.16,1.43,0.0,1.71
2026070219,10.7,0.08,73.75,67.3,1.35,0.0,3.78
2026070220,10.2,0.13,73.79,69.88,1.1,0.0,8.27
2026070221,9.8,0.09,73.82,70.17,0.93,0.0,13.23
2026070222,9.3,0.05,73.81,71.59,0.89,0.0,14.41
2026070223,8.7,0.06,73.82,70.68,0.84,0.0,12.29
2026070300,8.2,0.14,73.82,74.69,0.85,0.0,16.24
2026070301,7.6,0.04,73.78,74.58,0.95,0.0,6.68
2026070302,7.4,0.02,73.75,76.81,0.94,0.0,5.76
2026070303,7.1,0.09,73.72,76.24,0.99,0.0,3.95
2026070304,7.0,0.04,73.72,75.31,0.99,0.0,6.32
2026070305,7.0,0.01,73.75,71.6,0.94,0.0,8.99
2026070306,6.8,0.02,73.77,68.11,1.03,0.0,21.31
2026070307,7.9,0.02,73.82,64.85,1.12,74.19,20.11
2026070308,11.9,0.08,73.87,51.23,1.55,297.34,17.01
2026070309,15.5,0.12,73.92,41.22,2.14,513.03,15.02
2026070310,18.5,0.18,73.9,36.94,2.47,679.52,15.55
2026070311,20.3,0.16,73.86,30.26,2.94,780.48,8.33
2026070312,21.6,0.09,73.77,25.75,3.19,803.69,8.26
2026070313,22.0,0.02,73.68,24.88,3.45,756.18,13.84
2026070314,22.1,0.07,73.61,24.92,3.68,652.63,7.28
2026070315,21.4,0.07,73.57,26.69,3.93,482.04,4.87
2026070316,19.1,0.06,73.59,32.52,4.07,272.07,3.06
2026070317,14.5,0.05,73.64,50.59,2.22,54.8,2.6
2026070318,11.5,0.11,73.71,65.34,1.51,0.0,3.4
2026070319,10.7,0.06,73.8,75.15,1.41,0.0,7.32
2026070320,10.3,0.14,73.83,82.46,1.26,0.0,11.77
2026070321,9.8,0.56,73.85,84.38,1.14,0.0,16.39
2026070322,9.3,0.52,73.86,84.53,1.11,0.0,25.11
2026070323,8.7,0.92,73.83,87.93,1.24,0.0,26.39
2026070400,8.1,1.55,73.83,85.5,1.28,0.0,39.68
2026070401,7.6,3.49,73.79,83.6,1.36,0.0,23.65
2026070402,7.3,2.6,73.77,82.17,1.3,0.0,19.16
2026070403,7.0,1.26,73.75,76.19,1.28,0.0,23.28
2026070404,6.8,1.92,73.73,71.68,1.26,0.0,18.16
2026070405,6.8,1.76,73.77,70.82,1.11,0.0,23.72
2026070406,6.7,1.03,73.81,67.64,1.12,0.0,25.58
2026070407,7.9,1.26,73.85,67.38,1.28,70.23,27.24
2026070408,11.7,1.38,73.9,49.27,1.71,284.39,26.78
2026070409,15.2,0.33,73.94,39.11,2.21,496.52,22.06
2026070410,18.2,0.26,73.91,32.0,2.56,662.26,30.07
2026070411,20.2,0.23,73.86,28.38,2.96,763.96,26.31
2026070412,21.5,0.28,73.79,24.97,3.34,787.14,15.62
2026070413,21.9,0.2,73.71,24.68,3.6,754.84,23.36
2026070414,21.8,0.66,73.63,26.36,3.85,653.38,11.37
2026070415,21.1,0.09,73.62,28.59,4.12,479.79,9.74
2026070416,18.9,0.04,73.62,34.97,4.06,268.96,7.18
2026070417,14.4,0.04,73.67,53.6,2.51,54.31,9.03
2026070418,11.3,0.05,73.74,66.47,1.57,0.0,9.36
2026070419,10.4,0.12,73.79,76.54,1.48,0.0,9.79
2026070420,9.9,0.11,73.86,82.56,1.26,0.0,14.5
2026070421,9.5,0.16,73.89,86.13,1.17,0.0,20.59
2026070422,9.0,0.26,73.89,85.69,1.19,0.0,28.41
2026070423,8.4,0.26,73.87,88.92,1.24,0.0,32.78
2026070500,7.5,0.48,73.85,87.07,0.98,0.0,50.73
2026070501,7.2,0.48,73.82,86.24,0.97,0.0,34.2
2026070502,6.9,0.51,73.8,83.74,0.94,0.0,32.65
2026070503,6.9,0.7,73.76,80.62,0.87,0.0,38.21
2026070504,6.8,0.4,73.76,77.59,0.89,0.0,36.86
2026070505,6.8,0.35,73.78,75.08,0.94,0.0,40.2
2026070506,6.5,0.2,73.82,73.18,0.95,0.0,52.56
2026070507,7.8,0.19,73.86,72.19,1.15,66.2,54.34
2026070508,10.8,0.04,73.91,58.84,1.91,273.56,57.28
2026070509,13.9,0.12,73.95,45.46,2.73,470.72,54.5
2026070510,16.8,0.05,73.91,39.32,3.45,637.57,54.2
2026070511,18.7,0.07,73.87,33.28,3.81,740.95,38.44
2026070512,20.1,0.03,73.8,29.91,4.2,775.62,21.19
2026070513,20.8,0.02,73.71,29.84,4.66,746.81,25.84
2026070514,20.8,0.06,73.66,31.47,4.89,646.5,14.3
2026070515,19.9,0.03,73.63,35.48,5.2,476.92,13.22
2026070516,17.6,0.05,73.65,43.72,4.92,270.32,9.25
2026070517,14.0,0.05,73.69,60.1,3.61,56.07,12.38
2026070518,11.2,0.08,73.76,75.19,2.7,0.0,12.71
2026070519,10.3,0.06,73.82,82.53,2.3,0.0,11.41
2026070520,9.8,0.12,73.87,85.6,1.96,0.0,13.22
2026070521,9.5,0.14,73.89,88.45,1.63,0.0,17.43
2026070522,9.0,0.16,73.9,87.56,1.49,0.0,27.82
2026070523,8.5,0.17,73.89,89.5,1.33,0.0,34.61
2026070600,7.7,0.05,73.85,87.99,0.98,0.0,27.54
2026070601,7.3,0.07,73.81,87.33,0.88,0.0,12.14
2026070602,7.0,0.08,73.76,85.72,1.0,0.0,16.73
2026070603,6.7,0.06,73.73,84.37,1.01,0.0,11.86
2026070604,6.5,0.07,73.72,80.36,0.97,0.0,13.93
2026070605,6.4,0.12,73.74,78.98,1.03,0.0,13.39
2026070606,5.9,0.2,73.78,72.94,1.03,0.0,19.33
2026070607,7.1,0.29,73.82,72.44,1.27,81.11,18.47
2026070608,10.7,0.7,73.88,53.22,2.03,304.27,15.67
2026070609,13.9,0.59,73.88,46.39,2.6,509.97,16.21
2026070610,15.9,0.93,73.88,38.53,3.34,675.14,13.54
