fecha,T2M,PRECTOTCORR,PS,RH2M,WS2M,ALLSKY_SFC_SW_DWN,CLOUD_AMT
2002100100,12.39,0.75,73.76,87.42,3.9,0,72.77
2002100101,11.89,0.64,73.71,89.28,3.75,0,80.2
2002100102,11.46,0.36,73.75,90.77,3.11,0,90.75
2002100103,10.98,0.16,73.76,92.57,2.49,0,87.95
2002100104,10.83,0.08,73.79,93.53,1.55,0,84.77
2002100105,10.35,0.05,73.83,94.95,0.58,0,74.41
2002100106,9.71,0.04,73.91,96.39,0.44,30.08,79.77
2002100107,10.68,0.05,73.98,87.76,1.25,161.7,82.31
2002100108,12.14,0,74,77.96,1.3,310,2.23
2002100109,14.18,0,74,68.44,2,501.98,2.02
2002100110,16.05,0,73.98,60.86,3.13,628.15,67.74
2002100111,17.69,0,73.94,53.94,3.9,739.03,10.73
2002100112,19.24,0,73.86,46.63,4.4,742.72,75.56
2002100113,19.9,0,73.77,42.23,4.66,524.3,79.34
2002100114,20.07,0,73.69,40.14,4.79,237.1,95.32
2002100115,19.89,0,73.63,39.5,5,156.3,98.87
2002100116,19.33,0,73.62,40.79,5.1,92.62,98.74
2002100117,18.06,0,73.64,45.7,4.74,38.72,99.37
2002100118,15.92,0,73.69,55.95,3.27,0,79.39
2002100119,14.23,0,73.73,66.96,2.47,0,100
2002100120,13.21,0,73.76,75.75,2.09,0,98.92
2002100121,12.84,0,73.79,80.72,2,0,92.02
2002100122,12.5,0,73.79,84.8,2.04,0,93.56
2002100123,12.03,0,73.75,89.26,1.95,0,92.65
2002100200,11.13,0,73.68,95.79,1.61,0,89.92
2002100201,10.04,0,73.6,100,1.24,0,86.69
2002100202,9.4,0,73.54,100,1.03,0,72.47
2002100203,9.05,0,73.51,100,0.99,0,62.66
2002100204,8.48,0,73.51,96.16,0.99,0,52.46
2002100205,7.67,0,73.53,90.71,1.11,0,61.62
2002100206,8.2,0,73.57,75.68,1.16,62.97,36.23
2002100207,13.36,0,73.61,43.37,2.45,313,21.34
2002100208,18.93,0,73.64,22.07,2.66,582.75,2.25
2002100209,22.99,0,73.62,15.55,3.33,803.42,0.77
2002100210,25.49,0,73.59,13.85,4.24,964.3,1.53
2002100211,27.39,0.01,73.53,13.18,4.88,1054.9,3.07
2002100212,28.66,0.01,73.45,13.33,5.43,1070.72,1.25
2002100213,29.23,0,73.36,14.38,5.97,989.58,6.61
2002100214,28.97,0.08,73.27,16.84,6.58,802.05,32.24
2002100215,27.6,11.3,73.24,22.08,7.26,585.75,44.57
2002100216,25.05,13.53,73.27,31.15,7.72,340.42,52.65
2002100217,21.82,4.89,73.33,42.43,7.32,138.35,60.82
2002100218,19,0.76,73.4,52.72,5.88,0,77.32
2002100219,17.44,0.07,73.46,59.77,4.61,0,86.95
2002100220,16.3,0.05,73.51,65.82,3.66,0,96.47
2002100221,15.37,0.03,73.57,71.17,2.96,0,99.22
2002100222,14.7,0.01,73.6,75.39,2.65,0,99.02
2002100223,14.16,0.01,73.6,78.21,2.32,0,96.76
2002100300,13.71,0,73.56,79.07,1.76,0,99.57
2002100301,13.18,0.55,73.52,79.27,0.98,0,74.32
2002100302,12.53,0.55,73.49,79.96,0.62,0,49.09
2002100303,12.2,0.58,73.5,78.92,0.51,0,67.53
2002100304,12.17,0.01,73.54,76.08,0.41,0,85.88
2002100305,12,0.05,73.59,73.32,0.45,0,74.71
2002100306,12.28,0.13,73.65,68.6,0.45,55.05,46.92
2002100307,15.05,2.17,73.73,55.96,0.35,297.25,23.32
