fecha,T2M,PRECTOTCORR,PS,RH2M,WS2M,ALLSKY_SFC_SW_DWN,CLOUD_AMT
2002060100,6.85,0,73.76,99.45,1.06,0,98.93
2002060101,6.56,0,73.71,96.32,1.12,0,99.29
2002060102,6.34,0,73.66,91.22,1.19,0,98.94
2002060103,6.26,0,73.61,84.15,1.25,0,90.35
2002060104,6.25,0,73.6,76.79,1.28,0,78.47
2002060105,6.13,0,73.62,71.6,1.32,0,77.35
2002060106,5.98,0,73.66,67.98,1.34,0,90.04
2002060107,7.9,0,73.7,64.7,1.15,68.93,92.95
2002060108,13.01,0,73.74,42.09,2.2,229.77,95.67
2002060109,17.52,0,73.76,31.98,3.01,393.42,99.01
2002060110,20.69,0,73.72,24.2,3.72,532.72,99.71
2002060111,22.82,0,73.64,19.66,4,622.03,92.39
2002060112,24.23,0,73.55,17.37,4.08,626.47,93.02
2002060113,24.93,0,73.46,16.79,4,602.1,97.73
2002060114,24.91,0,73.38,17.54,3.82,515.03,90.42
2002060115,24.06,0.02,73.34,19.97,3.7,373.9,79.26
2002060116,21.77,0.02,73.36,28.29,3.63,202.93,66.59
2002060117,16.94,0.01,73.43,51.21,2.66,34,58.84
2002060118,13.09,0.01,73.52,70.28,1.68,0,49.26
2002060119,11.7,0,73.58,79.62,1.38,0,41.56
2002060120,11.18,0,73.61,82.54,1.06,0,28.56
2002060121,10.46,0,73.63,85.32,0.76,0,19.1
2002060122,9.45,0,73.64,87.35,0.76,0,15.74
2002060123,8.28,0,73.63,85.85,0.97,0,81.31
2002060200,7.26,0,73.61,77.3,1.16,0,66.39
2002060201,6.17,0,73.58,65.79,1.36,0,69.96
2002060202,5.15,0,73.56,52.85,1.52,0,64.04
2002060203,4.38,0,73.54,44.91,1.6,0,85.18
2002060204,3.85,0,73.55,41.35,1.64,0,85.44
2002060205,3.38,0,73.6,40.2,1.68,0,92.77
2002060206,2.87,0,73.65,39.66,1.74,0,93.29
2002060207,5.71,0,73.7,35.48,1.9,84.12,87.73
2002060208,11.78,0,73.74,17.38,3.35,277.88,86.83
2002060209,16.71,0,73.78,12.02,2.34,462.83,86.35
2002060210,21.49,0,73.78,6.7,1.01,631.38,80.04
2002060211,23.54,0,73.72,6.36,1.67,735.35,79.25
2002060212,24.6,0,73.64,6.46,2.3,774.3,49.41
2002060213,25.08,0,73.56,6.6,2.64,730.83,40.77
2002060214,24.92,0,73.48,7.11,2.92,640.35,23.89
2002060215,23.98,0,73.44,8.74,3.22,466.77,19.15
2002060216,21.66,0,73.45,15.05,3.21,260.75,12.61
2002060217,15.91,0,73.5,40.17,2.21,47.25,10.81
2002060218,12.26,0.01,73.59,63.04,1.78,0,7.3
2002060219,11.2,0.02,73.67,81.26,1.37,0,11.41
2002060220,11.39,0.02,73.7,88.54,0.89,0,15.05
2002060221,11.2,0.02,73.71,93.18,0.62,0,17.67
2002060222,10.74,0.01,73.7,96.7,0.61,0,0.81
2002060223,10.12,0,73.69,97.75,0.72,0,16.92
2002060300,9.36,0,73.67,96.57,0.86,0,25.53
2002060301,8.84,0,73.64,90.92,0.95,0,35.47
2002060302,8.23,0,73.6,83.53,1.04,0,38.92
2002060303,7.56,0,73.57,75.23,1.12,0,45.58
2002060304,7.07,0,73.56,66.95,1.18,0,44.43
2002060305,6.68,0,73.58,59.43,1.23,0,46.79
2002060306,6.37,0,73.61,54.24,1.28,0,49.51
2002060307,8.53,0,73.65,50.63,1.17,101.97,30.92
2002060308,13.71,0,73.69,28.02,2.23,337.58,11.94
2002060309,17.96,0,73.71,25.88,2.71,555.12,2.7
2002060310,21.01,0,73.68,20.36,3.12,706.05,6.68
2002060311,23.08,0,73.62,17.26,3.26,806.83,0.04
2002060312,24.42,0,73.53,15.56,3.26,824.85,3.8
2002060313,25.11,0,73.45,15.28,3.31,774.15,3.67
2002060314,25.14,0,73.38,16.31,3.43,657.25,3.54
2002060315,24.42,0,73.34,19,3.47,481.62,3.42
2002060316,22.59,0,73.35,25.96,3.31,266.08,3.29
2002060317,17.64,0,73.4,50.08,2.24,47.6,3.16
2002060318,14.22,0,73.49,70.17,1.79,0,3.03
2002060319,12.84,0,73.57,82.3,1.31,0,0.37
2002060320,12.32,0,73.61,86.58,1.05,0,4.49
2002060321,11.58,0,73.62,90.25,0.9,0,7.92
2002060322,10.85,0,73.62,91.49,0.84,0,7.75
2002060323,9.91,0,73.61,90.6,0.88,0,2.01
2002060400,8.59,0,73.59,85.9,1.08,0,10.86
2002060401,7.74,0,73.57,72.3,1.29,0,8.6
2002060402,6.85,0,73.54,57.17,1.52,0,17.26
2002060403,5.92,0,73.52,45.26,1.72,0,21.14
2002060404,5.19,0,73.53,39.1,1.85,0,56.4
2002060405,4.73,0,73.56,36.95,1.89,0,58.18
2002060406,4.43,0,73.61,37.48,1.86,0,83.84
2002060407,7.25,0,73.66,35.37,1.87,93.72,66.29
2002060408,13.1,0,73.71,18.13,3.01,297.8,61.9
2002060409,17.97,0,73.73,13.04,1.56,505.33,53.56
2002060410,22.17,0,73.72,9.08,1.79,669.78,43.93
2002060411,23.86,0,73.67,9.43,2.39,787.55,12.91
2002060412,24.89,0,73.6,10.24,2.68,813.85,7.29
2002060413,25.3,0,73.51,11.22,2.98,763.28,6.68
2002060414,25.08,0,73.44,12.5,3.22,645.03,7.37
2002060415,24.2,0,73.41,14.96,3.4,464.98,8.04
2002060416,22.28,0,73.41,21.17,3.28,252.43,7.06
2002060417,16.97,0,73.44,46.35,1.76,42,8.35
2002060418,13.52,0,73.5,67.64,1.31,0,9.56
2002060419,12.57,0,73.56,80.79,1.08,0,10.23
2002060420,12.4,0,73.61,89.54,0.91,0,10.7
2002060421,12.02,0,73.63,94.16,0.82,0,6.36
2002060422,11.38,0,73.63,95.88,0.84,0,0.02
2002060423,10.14,0,73.6,97.51,0.97,0,5.98
2002060500,9.22,0,73.57,92.74,1.08,0,10.21
2002060501,8.37,0.02,73.54,82.13,1.23,0,18.99
2002060502,7.38,0.02,73.51,68.58,1.43,0,31.92
2002060503,6.41,0.02,73.49,53.63,1.63,0,56.45
2002060504,5.62,0,73.48,44.13,1.78,0,69.76
2002060505,5.01,0,73.5,40.66,1.82,0,83.58
2002060506,4.55,0,73.55,39.65,1.83,0,81.95
2002060507,7.23,0,73.6,35.5,1.97,100.85,53.27
2002060508,13,0,73.63,18.7,3.14,331.48,32.41
2002060509,17.77,0,73.65,13.65,2.14,539.35,14.52
2002060510,22.58,0,73.62,8.54,1.86,703.5,9.21
2002060511,24.6,0,73.56,8.05,2.36,801.9,41.25
2002060512,25.84,0,73.49,8,2.66,824.47,6.57
2002060513,26.4,0,73.41,8.08,2.87,775.92,7.21
2002060514,26.29,0,73.35,8.53,3.05,658.17,10.32
2002060515,25.34,0,73.31,9.82,3.19,476.73,11.45
2002060516,22.96,0,73.32,16.44,2.72,258.95,13.43
2002060517,16.93,0,73.36,40.78,1.54,45.55,16.34
2002060518,13.72,0,73.44,55.62,1.25,0,19.09
2002060519,13.01,0,73.52,64.96,1.03,0,21.78
2002060520,12.86,0,73.59,68.65,0.72,0,24.11
2002060521,13.11,0,73.62,69.43,0.19,0,20.36
2002060522,12.56,0,73.64,69.98,0.4,0,24.85
2002060523,11.76,0,73.64,69.02,0.66,0,38.68
2002060600,10.88,0,73.65,67.06,0.69,0,32.48
2002060601,10.44,0.27,73.66,64.6,0.6,0,45.83
2002060602,10.57,0.27,73.65,61.83,0.47,0,44.73
2002060603,10.64,0.27,73.65,62.36,0.3,0,45.66
2002060604,10.43,0,73.65,65.48,0.11,0,44.34
2002060605,9.78,0,73.69,70.76,0.34,0,37.94
2002060606,9.17,0,73.74,76.4,0.54,0,48.08
2002060607,9.82,0,73.79,78.31,0.61,93.62,33.61
2002060608,12.3,0,73.82,73.83,1.7,322.05,17.93
2002060609,14.99,0,73.83,68.45,2.82,536.25,7.79
2002060610,17.47,0,73.82,57.72,3.33,700.4,1.56
2002060611,19.46,0,73.75,48.83,3.64,792.92,3.41
2002060612,20.86,0.04,73.65,42.54,3.96,808.9,9.97
2002060613,21.69,0.14,73.55,38.52,4.25,752.75,16.48
2002060614,21.85,0.34,73.46,37.16,4.44,631.17,22.92
2002060615,21.33,0.31,73.41,38.8,4.57,451.42,29.37
2002060616,19.92,0.25,73.4,44.33,4.58,249.27,32.63
2002060617,16.65,0.06,73.43,60.42,3.36,37.4,43.48
2002060618,13.15,0.03,73.49,82.56,1.9,0,51.75
2002060619,12.31,0.03,73.55,92.12,1.45,0,60.13
2002060620,12.03,0.03,73.6,95.79,1.4,0,61.74
2002060621,11.6,0.01,73.62,98.24,1.34,0,65.13
2002060622,11.02,0,73.63,100,1.03,0,82.01
2002060623,10.64,0,73.62,100,0.93,0,59.31
2002060700,10.25,0,73.6,99.69,0.91,0,62.55
2002060701,9.11,0.01,73.57,100,0.91,0,65.26
2002060702,8.18,0.01,73.52,95.89,1.02,0,60.09
2002060703,7.2,0.01,73.48,86.69,1.16,0,53.14
2002060704,6.21,0,73.47,74.27,1.29,0,49.89
2002060705,5.28,0,73.49,60.78,1.41,0,43.59
2002060706,4.55,0,73.54,49.11,1.49,0,60.33
2002060707,6.89,0,73.61,41.08,1.46,93.2,40.42
2002060708,12.55,0,73.67,19.03,2.38,317.4,24.72
2002060709,17.13,0,73.72,16.04,1.5,521.38,13.05
2002060710,21.22,0,73.72,14.96,2.41,678,17.08
2002060711,23.14,0,73.67,16.01,2.86,781.7,16.04
