fecha,T2M,PRECTOTCORR,PS,RH2M,WS2M,ALLSKY_SFC_SW_DWN,CLOUD_AMT
2002080100,9.24,0,73.85,93.47,1.76,0,9.17
2002080101,8.94,0,73.8,94.81,1.67,0,28.39
2002080102,8.75,0,73.76,95.26,1.74,0,32.15
2002080103,8.51,0,73.73,95.62,1.81,0,28.19
2002080104,8.19,0,73.71,96.39,1.82,0,37.33
2002080105,7.77,0,73.7,98.07,1.67,0,36.95
2002080106,7.24,0,73.73,100,1.42,0,25.3
2002080107,8.7,0,73.76,89.01,2.02,97.9,11.23
2002080108,11.76,0,73.79,69.25,3.77,326.1,9.72
2002080109,14.89,0,73.81,51.68,4.78,553,1.52
2002080110,17.5,0,73.77,41.32,5.29,720,3.45
2002080111,19.53,0,73.7,35,5.59,830.8,0.24
2002080112,20.89,0.03,73.61,31.38,5.61,872.67,3.05
2002080113,21.59,0.05,73.52,29.71,5.68,829.65,4.13
2002080114,21.3,0.14,73.46,30.35,5.89,717,5.73
2002080115,19.85,0.27,73.45,34.1,6.3,536.65,6.77
2002080116,17.13,0.24,73.51,42.33,6.53,316.83,7.68
2002080117,13.42,0.13,73.61,56.24,5.68,88.3,5.98
2002080118,10.61,0.09,73.72,69.44,4.18,0,9.49
2002080119,9.1,0.11,73.8,77.74,3.09,0,10.56
2002080120,8.47,0.17,73.85,81.39,2.61,0,11.17
2002080121,8.09,0.24,73.87,83.22,2.62,0,8.05
2002080122,7.6,0.22,73.87,85.37,2.61,0,4.49
2002080123,7.12,0.14,73.86,87.51,2.4,0,0.89
2002080200,6.21,0.07,73.83,92.14,1.9,0,7.06
2002080201,5.46,0.04,73.79,95.3,1.67,0,13.31
2002080202,4.98,0.02,73.76,95.8,1.48,0,19.02
2002080203,4.68,0.01,73.75,94.1,1.29,0,22.88
2002080204,4.43,0,73.77,91.72,0.83,0,25.13
2002080205,4.09,0,73.8,89.22,0.46,0,22.55
2002080206,3.71,0,73.84,86.38,0.47,0,32.87
2002080207,5.09,0,73.89,74.97,1.1,100.97,18.73
2002080208,8.71,0,73.94,57.66,2.05,333.42,10.96
2002080209,13.23,0,73.97,44.18,3.48,558.17,3.49
2002080210,16.49,0,73.95,36.3,3.91,731.72,1.63
2002080211,18.93,0,73.9,31.27,4.16,828.47,10.7
2002080212,20.38,0,73.82,29.13,4.61,852.53,28.5
