fecha,T2M,PRECTOTCORR,PS,RH2M,WS2M,ALLSKY_SFC_SW_DWN,CLOUD_AMT
2002010100,10.9,0.23,73.49,92,0.91,0,93.65
2002010101,10.69,0.22,73.47,92.46,0.63,0,94.15
2002010102,11.03,0.23,73.47,91.1,0.58,0,88.21
2002010103,11.1,0.24,73.49,90.61,0.57,0,47.31
2002010104,11.01,0.22,73.52,90.31,0.58,0,20.35
2002010105,10.86,0.17,73.58,90.11,0.59,0,17.08
2002010106,11.95,0.18,73.63,83.39,1.09,115.5,19.92
2002010107,13.93,0.25,73.66,72.62,1,344.5,21.84
2002010108,16.5,5.67,73.67,63.25,0.5,581.42,20.12
2002010109,18.83,9.75,73.64,55.12,1.26,745.05,71.82
2002010110,20.95,14.48,73.6,48.96,2.24,964.42,26.6
2002010111,21.97,19.55,73.54,46.28,3.19,1066.78,15.37
2002010112,22.29,21.98,73.51,45.53,3.9,1013.45,33.82
2002010113,21.17,23.23,73.49,49.68,4.38,928.47,36.52
2002010114,19.71,23.33,73.47,56.33,4.65,750.97,49.34
2002010115,18.29,24.82,73.46,63.47,4.72,524.12,70
2002010116,16.96,25.07,73.46,71.02,4.65,333.92,79.83
2002010117,15.72,23.02,73.46,79.6,4.24,171.3,82.98
2002010118,14.83,17.48,73.48,87.27,3.31,42.58,85.16
2002010119,14.38,11.1,73.53,91.96,2.62,0,85.89
2002010120,14.2,7.72,73.6,94,2.31,0,87.44
2002010121,14,5.62,73.69,95.27,2.2,0,92.81
2002010122,13.78,5.31,73.75,95.9,2.1,0,88.29
2002010123,13.43,5.1,73.73,96.27,1.8,0,85.91
2002010200,12.93,4.76,73.69,96.28,1.39,0,80.56
2002010201,12.43,4.5,73.65,96.37,1.06,0,85.35
2002010202,12.08,4.44,73.63,96.19,0.77,0,89.35
2002010203,11.71,4.19,73.65,95.96,0.56,0,78.01
2002010204,11.33,4.11,73.7,95.86,0.51,0,85.77
2002010205,10.89,4.18,73.78,96.02,0.6,0,79.38
2002010206,11.98,4.62,73.84,91.66,1.11,67.88,82.89
2002010207,13.77,4.84,73.87,80.59,2,220.23,84.26
2002010208,16.24,0.73,73.88,65,2.36,409.92,18.15
2002010209,18.92,0.51,73.87,49.94,2.83,603.97,23.72
2002010210,20.8,0.59,73.83,42.7,3.52,700.35,33.98
2002010211,22.03,0.85,73.77,39.08,4.12,866.85,21.68
2002010212,22.77,1.28,73.72,37.34,4.64,895.65,70.76
2002010213,22.87,1.63,73.67,37.17,4.98,868.45,68.65
2002010214,22.26,1.76,73.63,38.9,5.14,767.65,66.53
2002010215,21.21,1.84,73.61,41.89,5.18,592.2,71.51
2002010216,19.58,1.55,73.62,46.99,4.93,398.6,76.48
2002010217,17.48,1.52,73.67,55.4,4.27,216.48,80.94
2002010218,15.59,0.97,73.74,66.25,3.29,56,85
2002010219,14.24,0.83,73.81,76.73,2.52,0,93.66
2002010220,13.46,0.68,73.85,83.58,2.08,0,87.77
2002010221,12.93,0.56,73.89,88.22,1.69,0,76.84
2002010222,12.46,0.37,73.9,91.8,1.28,0,58.51
2002010223,12.13,0.33,73.86,93.85,0.97,0,79.92
2002010300,11.89,0.24,73.8,94.18,0.85,0,82.13
2002010301,11.66,0.18,73.75,94.36,0.85,0,86.7
2002010302,11.03,0.12,73.72,96.3,0.71,0,74.82
2002010303,10.68,0.08,73.73,96.67,0.6,0,83.15
2002010304,10.5,0.06,73.78,95.51,0.5,0,49.53
2002010305,10.36,0.08,73.87,94.75,0.44,0,25.77
2002010306,11.42,0.11,73.94,88.56,0.58,109.65,17.87
2002010307,13.79,0.57,73.97,68.67,0.77,349.55,16.55
2002010308,16.91,1.49,73.95,46.85,1.26,604.75,13.06
2002010309,19.75,1.61,73.91,34.68,1.97,814.75,17.95
2002010310,21.89,1.93,73.85,29.07,2.72,958.9,29
2002010311,23.48,3.14,73.77,25.97,3.48,1017.9,3.64
2002010312,24.41,4.67,73.7,24.3,4.17,1000.05,7.08
2002010313,24.79,5.77,73.64,23.47,4.72,934.8,12.6
2002010314,24.45,7.12,73.58,23.86,5.05,782.5,22.23
2002010315,23.49,7.33,73.54,25.87,5.12,579.08,65.97
2002010316,22,7.11,73.53,30.13,4.93,305.42,88.99
2002010317,20.08,4.69,73.57,38.26,4.42,156.62,88.34
2002010318,17.53,2.82,73.63,54.03,3.25,41.8,88.13
2002010319,15.43,3.08,73.69,72.55,2.46,0,85.06
2002010320,14.45,2.57,73.72,82.92,2.09,0,87.27
2002010321,13.91,2.37,73.74,88.76,1.79,0,94.39
2002010322,13.68,2.42,73.75,92.21,1.69,0,89.86
2002010323,13.37,2.73,73.74,94.75,1.37,0,79.81
2002010400,12.97,2,73.7,96.43,1.05,0,93.82
2002010401,12.74,1.88,73.67,96.59,1.11,0,74.19
2002010402,12.51,2.09,73.64,96.82,0.96,0,47.05
2002010403,12.13,2.51,73.63,97.28,0.74,0,78.48
2002010404,11.54,3.16,73.65,97.82,0.63,0,81.32
2002010405,11.31,3.31,73.7,97.38,0.55,0,87.88
2002010406,12.41,3.58,73.75,92.32,1.08,64.68,86.44
2002010407,14.27,4.8,73.76,81.14,1.64,226.75,84.21
2002010408,16.72,0.15,73.77,66.45,2.36,422.62,32.16
2002010409,19.43,0.22,73.75,53.18,3.18,621.6,8.25
2002010410,21.18,0.27,73.7,47.09,3.83,832.1,66.81
2002010411,22.49,0.34,73.62,43.51,4.22,905.5,63.94
2002010412,23.39,0.4,73.54,41.16,4.54,955.45,1.62
2002010413,23.54,0.51,73.47,40.71,4.72,902.35,4.12
2002010414,23.12,0.63,73.4,41.71,4.89,766.83,74.73
2002010415,22.32,0.73,73.33,43.87,5.04,568.6,67.67
2002010416,20.88,0.62,73.3,48.69,5.01,355.5,73.66
2002010417,18.78,0.53,73.33,57.42,4.41,200.18,62.58
2002010418,16.33,0.43,73.44,70.9,2.81,58.33,50.05
